Date,MMWR_week,year,Location,Concat,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf
12/19/20,51,2020,AK,202051AK,26325,0,0,0,0,3599,0,0,0,1607,0,0,0,0,0,1607,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
12/26/20,52,2020,AK,202052AK,45250,0,0,0,0,6186,0,0,0,11427,0,0,0,0,562,10864,1,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1/2/21,53,2021,AK,202153AK,54975,0,0,0,0,7515,0,0,0,18401,0,0,0,0,3006,15386,9,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1/9/21,1,2021,AK,20211AK,92875,0,0,0,0,12696,0,0,0,28539,0,0,0,0,6760,21769,10,3901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1/16/21,2,2021,AK,20212AK,149650,0,0,0,0,20457,0,0,0,54193,0,0,0,0,16326,37854,13,7408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1/23/21,3,2021,AK,20213AK,155700,0,0,0,0,21284,0,0,0,88344,0,0,0,0,35342,52977,25,12076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1/30/21,4,2021,AK,20214AK,193150,0,0,0,0,26403,0,0,0,115268,0,0,0,0,45737,69506,25,15757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2/6/21,5,2021,AK,20215AK,248500,0,0,0,0,33969,0,0,0,139147,0,0,0,0,55092,84028,27,19021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2/13/21,6,2021,AK,20216AK,271550,0,0,0,0,37120,0,49233,0,175138,0,164200,0,0,71979,103129,30,23941,0,29770,0,174962,122518,16.7,0,0,113353,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2/20/21,7,2021,AK,20217AK,299935,0,0,0,0,41000,0,54379,0,227403,0,226470,0,0,103664,123686,53,31085,0,41060,0,227363,148497,20.3,0,0,147797,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2/27/21,8,2021,AK,20218AK,342535,0,0,0,0,46824,0,62103,0,259538,0,258312,0,0,119354,140130,54,35478,0,46833,0,259706,163739,22.4,0,0,162874,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3/6/21,9,2021,AK,20219AK,426715,2500,210300,213915,0,58331,0,77365,465907,288625,0,287102,112458,0,131430,157140,55,39454,0,52053,122787,289004,178237,24.4,0,0,177272,32.1,64755,70.7,110053,15,0,0,109498,19.9,48582,53,0,48830,61217,6,0,0,0,0,0,48824,60668,6,0,28003,20577,2,,0,0,0,0,0,0,0,0,0,0,0
3/13/21,10,2021,AK,202110AK,472395,8900,233200,230295,0,64575,0,85647,515783,324271,0,320992,111992,250,148985,174980,56,44327,0,58197,122278,324820,197436,27,0,0,195372,35.4,62882,68.7,126647,17.3,0,0,125432,22.7,50282,54.9,266,56390,69984,7,0,0,0,0,265,56341,68819,7,30,29585,20664,3,,0,0,0,0,0,0,0,0,0,0,0
3/20/21,11,2021,AK,202111AK,520685,11700,247100,261885,0,71176,0,94402,568508,362698,0,358504,116018,2651,167983,192008,56,49580,0,64998,126674,363011,221157,30.2,0,0,218410,39.6,64461,70.4,143349,19.6,0,0,141896,25.7,53177,58.1,2624,63347,77370,8,0,0,0,0,2616,63290,75982,8,297,31325,21552,3,,0,0,0,0,0,0,0,0,0,0,0
3/27/21,12,2021,AK,202112AK,570465,16600,263900,289965,0,77981,0,103427,622860,395650,0,390157,118308,4785,180913,209896,56,54084,0,70737,129174,395987,242733,33.2,0,0,238899,43.3,65801,71.8,156698,21.4,0,0,155019,28.1,54526,59.5,4683,68448,83558,9,0,0,0,0,4659,68371,81980,9,507,31956,22060,3,,0,0,0,0,0,0,0,0,0,0,0
4/3/21,13,2021,AK,202113AK,636665,26700,284900,325065,0,87030,0,115429,695140,420238,0,413954,120045,6623,190835,222723,57,57445,0,75051,131071,419902,254263,34.8,0,0,249850,45.3,66734,72.9,170747,23.3,0,0,168841,30.6,55682,60.8,6426,74102,90209,10,0,0,0,0,6392,74020,88419,10,722,32539,22417,4,,0,0,0,0,0,0,0,0,0,0,0
