Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Percent,Greater75Percent
10/28/21,43,MO,"8,411,045","347,900","3,293,640","4,769,505",0,"137,045","160,647","176,449","791,973","6,724,837",79.95245537,1
10/28/21,43,UT,"4,355,130","198,100","1,611,740","2,545,290",0,"135,845","168,005","191,453","1,190,340","3,664,969",84.15291851,1
10/28/21,43,MT,"1,464,145","87,700","619,680","756,765",0,"136,992","159,563","174,264","709,245","1,178,365",80.48144139,1
10/28/21,43,VA2,"6,744,640","559,700","3,192,860","2,992,080",0,0,0,0,0,"5,974,228",88.57741851,1
10/28/21,43,SD,"1,324,315","72,100","553,500","698,715",0,"149,698","179,422","198,382","872,000","1,016,852",76.78324266,1
10/28/21,43,VT,"1,144,350","63,900","477,900","602,550",0,"183,393","207,705","224,389","915,194","964,013",84.24109757,1
10/28/21,43,KY,"6,280,145","315,800","2,695,140","3,269,205",0,"140,569","164,999","181,256","836,723","5,282,155",84.1088064,1
10/28/21,43,IN,"8,990,870","484,500","3,383,240","5,123,130",0,"133,550","157,595","174,098","828,085","7,143,665",79.45465789,1
10/28/21,43,CA,"62,407,505","2,999,800","23,578,660","35,829,045",0,"157,945","185,481","203,829","1,068,970","53,719,846",86.07914385,1
10/28/21,43,MP,"87,480","3,000","21,180","63,300",0,"153,792","180,089","197,454","907,657","72,328",82.67946959,1
10/28/21,43,ID,"2,434,900","127,100","969,680","1,338,120",0,"136,251",0,"181,863","837,685","1,699,050",69.77904637,1
10/28/21,43,FM,"89,640","11,500","74,000","4,140",0,"86,489","101,278","111,042","510,449","75,359",84.06849621,1
10/28/21,43,AZ,"10,673,230","501,400","4,294,860","5,876,970",0,"146,636","171,981","189,293","815,601","8,727,934",81.77406465,1
10/28/21,43,DC,"1,298,955","60,300","499,080","739,575",0,"184,053","213,029","224,896","1,487,190","1,055,543",81.26093668,1
10/28/21,43,OK,"5,320,800","268,900","2,304,320","2,747,580",0,"134,466","160,013","177,081","837,747","4,448,436",83.60464592,1
10/28/21,43,OR,"7,200,945","385,100","2,863,240","3,952,605",0,"170,730","197,407","214,878","939,973","5,579,756",77.48644102,1
10/28/21,43,MD,"10,771,710","492,700","4,025,180","6,253,830",0,"178,172","208,637","228,651","1,122,760","8,488,260",78.80141593,1
10/28/21,43,IL,"19,187,775","963,700","7,171,820","11,052,255",0,"151,421","177,045","194,722","939,089","15,705,319",81.8506523,1
10/28/21,43,WY,"731,765","40,400","333,900","357,465",0,"126,437","149,120","164,432","737,823","565,644",77.29858629,1
10/28/21,43,ME,"2,338,330","131,500","966,000","1,240,830",0,"173,955","197,338","213,474","819,704","1,948,534",83.33015443,1
10/28/21,43,SC,"7,536,555","366,100","3,177,440","3,993,015",0,"146,377","170,511","186,662","804,308","5,668,206",75.20950885,1
10/28/21,43,PR,"5,031,270","198,100","2,095,760","2,737,410",0,"157,538","176,642","191,963","740,267","4,972,903",98.83991517,1
10/28/21,43,GA,"15,557,365","681,200","6,436,100","8,440,065",0,"146,527","173,088","191,746","1,025,570","11,360,060",73.0204633,0
10/28/21,43,NC,"15,736,130","759,600","6,165,560","8,810,970",0,"150,038","175,128","192,200","898,646","12,251,122",77.85346206,1
10/28/21,43,IH2,"2,221,915","90,300","1,056,040","1,075,575",0,"106,679",0,0,0,"1,717,785",77.31101325,1
10/28/21,43,RP,"33,090","3,800","22,900","6,390",0,"184,788","216,388","237,255","1,090,640","31,592",95.47295255,1
10/28/21,43,CO,"8,906,305","404,000","3,466,640","5,035,665",0,"154,657","180,433","197,952","1,057,240","7,651,943",85.91602241,1
10/28/21,43,NH,"2,313,470","136,900","897,760","1,278,810",0,"170,144","193,019","209,467","911,303","1,901,441",82.1900003,1
10/28/21,43,TN,"9,246,800","424,900","3,603,520","5,218,380",0,"135,401","158,456","173,841","808,716","7,397,726",80.00309296,1
10/28/21,43,AK,"1,140,925","74,200","451,140","615,585",0,"155,961","187,382","206,853","1,245,720","863,531",75.6869207,1
10/28/21,43,NJ,"14,948,525","733,700","5,759,640","8,455,185",0,"168,298","196,217","215,285","1,013,090","12,217,932",81.73336165,1
10/28/21,43,KS,"4,189,435","211,700","1,698,560","2,279,175",0,"143,803","170,879","189,305","881,083","3,304,696",78.88166304,1
10/28/21,43,CT,"6,086,525","288,200","2,418,840","3,379,485",0,"170,716","195,964","214,477","965,741","5,357,571",88.02347809,1
10/28/21,43,AS,"71,820",600,"20,700","50,520",0,"128,966","151,019","165,579","761,128","65,651",91.41047062,1
10/28/21,43,MN,"8,530,430","412,000","3,226,420","4,892,010",0,"151,259","178,532","196,713","926,836","7,135,788",83.65097656,1
10/28/21,43,MH,"57,140","11,300","43,500","2,340",0,"97,821","114,546","125,591","577,347","42,025",73.54742737,0
10/28/21,43,NE,"2,782,630","126,600","1,049,560","1,606,470",0,"143,849","172,043","190,809","890,561","2,318,461",83.31905428,1
10/28/21,43,DD2,"5,554,500","199,700","1,907,800","3,447,000",0,0,0,0,0,"6,196,009",111.5493564,1
10/28/21,43,DE,"1,672,295","76,000","665,680","930,615",0,"171,735","199,128","217,127","885,252","1,290,314",77.1582765,1
10/28/21,43,MS,"4,054,645","186,300","1,696,360","2,171,985",0,"136,238","160,808","178,025","833,101","2,957,744",72.94705208,1
10/28/21,43,OH,"16,313,635","773,100","6,538,000","9,002,535",0,"139,563","163,125","179,053","797,218","12,861,705",78.84021556,1
10/28/21,43,MA,"11,807,440","520,900","4,618,140","6,668,400",0,"171,308","196,243","213,142","1,009,760","10,356,035",87.70770802,1
10/28/21,43,WI,"8,164,205","368,700","3,185,300","4,610,205",0,"140,220","163,291","179,203","802,582","7,273,809",89.09390443,1
