submission_date,mmwr_week,year,location,concat,total_cases,total_confirmed_cases,total_prob_cases,new_cases,prob_new_cases,total_deaths,confirmed_deaths,prob_deaths,new_deaths,prob_new_deaths
12/19/20,51,2020,AK,202051AK,42659,0,0,325,0,267,0,0,1,0
12/26/20,52,2020,AK,202052AK,44394,0,0,188,0,271,0,0,1,0
1/2/21,53,2021,AK,202153AK,46530,0,0,289,0,287,0,0,2,0
1/9/21,1,2021,AK,20211AK,48571,0,0,374,0,297,0,0,1,0
1/16/21,2,2021,AK,20212AK,50264,0,0,195,0,300,0,0,0,0
1/23/21,3,2021,AK,20213AK,51663,0,0,241,0,306,0,0,0,0
1/30/21,4,2021,AK,20214AK,52636,0,0,129,0,308,0,0,0,0
2/6/21,5,2021,AK,20215AK,53557,0,0,124,0,309,0,0,1,0
2/13/21,6,2021,AK,20216AK,54488,0,0,94,0,311,0,0,1,0
2/20/21,7,2021,AK,20217AK,55392,0,0,136,0,318,0,0,3,0
2/27/21,8,2021,AK,20218AK,56212,0,0,160,0,323,0,0,1,0
3/6/21,9,2021,AK,20219AK,57088,0,0,129,0,328,0,0,0,0
3/13/21,10,2021,AK,202110AK,58010,0,0,169,0,331,0,0,0,0
3/20/21,11,2021,AK,202111AK,58893,0,0,185,0,333,0,0,1,0
3/27/21,12,2021,AK,202112AK,59965,0,0,199,0,338,0,0,1,0
4/3/21,13,2021,AK,202113AK,61197,0,0,233,0,340,0,0,0,0
4/10/21,14,2021,AK,202114AK,62391,0,0,179,0,341,0,0,0,0
4/17/21,15,2021,AK,202115AK,63439,0,0,177,0,341,0,0,0,0
4/24/21,16,2021,AK,202116AK,64503,0,0,136,0,341,0,0,0,0
5/1/21,17,2021,AK,202117AK,65498,0,0,89,0,341,0,0,0,0
5/8/21,18,2021,AK,202118AK,66196,0,0,76,0,343,0,0,0,0
5/15/21,19,2021,AK,202119AK,66726,0,0,43,0,347,0,0,0,0
5/22/21,20,2021,AK,202120AK,67137,0,0,30,0,362,0,0,0,0
5/29/21,21,2021,AK,202121AK,67429,0,0,26,0,362,0,0,0,0
6/5/21,22,2021,AK,202122AK,67664,0,0,16,0,362,0,0,0,0
6/12/21,23,2021,AK,202123AK,67843,0,0,20,0,366,0,0,0,0
6/19/21,24,2021,AK,202124AK,68005,0,0,23,0,366,0,0,0,0
6/26/21,25,2021,AK,202125AK,68245,0,0,27,0,367,0,0,0,0
7/3/21,26,2021,AK,202126AK,68517,0,0,39,0,370,0,0,0,0
7/10/21,27,2021,AK,202127AK,68844,0,0,53,0,372,0,0,0,0
7/17/21,28,2021,AK,202128AK,69599,0,0,146,0,374,0,0,0,0
7/24/21,29,2021,AK,202129AK,70929,0,0,178,0,377,0,0,0,0
7/31/21,30,2021,AK,202130AK,72519,0,0,234,0,382,0,0,0,0
8/7/21,31,2021,AK,202131AK,74514,0,0,270,0,390,0,0,0,0
8/14/21,32,2021,AK,202132AK,76676,0,0,333,0,395,0,0,0,0
8/21/21,33,2021,AK,202133AK,79830,0,0,351,0,406,0,0,0,0
8/28/21,34,2021,AK,202134AK,83250,0,0,370,0,427,0,0,0,0
9/4/21,35,2021,AK,202135AK,87113,0,0,515,0,435,0,0,0,0
9/11/21,36,2021,AK,202136AK,91418,0,0,472,0,444,0,0,0,0
9/18/21,37,2021,AK,202137AK,96688,0,0,686,0,455,0,0,1,0
9/25/21,38,2021,AK,202138AK,104400,0,0,1287,0,520,0,0,6,0
10/2/21,39,2021,AK,202139AK,111579,0,0,729,0,557,0,0,0,0
10/9/21,40,2021,AK,202140AK,117278,0,0,911,0,571,0,0,1,0
10/16/21,41,2021,AK,202141AK,123369,0,0,691,0,610,0,0,16,0
10/23/21,42,2021,AK,202142AK,128084,0,0,0,0,673,0,0,0,0
10/30/21,43,2021,AK,202143AK,132645,0,0,0,0,699,0,0,0,0
12/19/20,51,2020,AL,202051AL,337301,272703,0,2608,792,6362,5280,1082,60,10
12/26/20,52,2020,AL,202052AL,362139,290280,0,3482,1124,6825,5620,1205,71,21
1/2/21,53,2021,AL,202153AL,393953,313203,0,3450,1010,7347,6023,1324,78,19
1/9/21,1,2021,AL,20211AL,424741,335093,0,2369,655,7900,6412,1488,83,29
1/16/21,2,2021,AL,20212AL,446183,350636,0,1883,501,8477,6850,1627,69,16
1/23/21,3,2021,AL,20213AL,464961,363898,0,1623,470,9046,7276,1770,74,16
1/30/21,4,2021,AL,20214AL,481027,374941,0,1257,353,9546,7628,1918,67,20
2/6/21,5,2021,AL,20215AL,492677,383236,0,981,257,9891,7895,1996,42,8
2/13/21,6,2021,AL,20216AL,501169,389112,0,754,216,10153,8106,2047,26,6
2/20/21,7,2021,AL,20217AL,506925,393198,0,606,182,10372,8276,2096,32,7
