submission_date,total_cases,total_confirmed_cases,total_prob_cases,new_cases,prob_new_cases,total_deaths,confirmed_deaths,prob_deaths,new_deaths,prob_new_deaths
2021-10-01,814187,730379,83808,4023,651,8901,8009,892,13,1
2021-10-02,816371,732381,83990,2184,182,8911,8019,892,10,0
2021-10-03,818555,734383,84172,2184,182,8921,8029,892,10,0
2021-10-04,820739,736385,84354,2184,182,8934,8041,893,13,1
2021-10-05,825538,740559,84979,4799,625,8960,8064,896,26,3
2021-10-06,828280,742832,85448,2742,469,8970,8073,897,10,1
2021-10-07,831493,745802,85691,3213,243,8989,8092,897,19,0
2021-10-08,835057,748854,86203,3564,512,9006,8107,899,17,2
2021-10-09,836974,750587,86387,1917,184,9021,8121,900,15,1
2021-10-10,838891,752320,86571,1917,184,9036,8135,901,15,1
2021-10-11,840810,754054,86756,1919,185,9054,8151,903,18,2
2021-10-12,844102,756855,87247,3292,491,9101,8194,907,47,4
2021-10-13,847006,759278,87728,2904,481,9124,8217,907,23,0
2021-10-14,849922,761892,88030,2916,302,9141,8230,911,17,4
2021-10-15,852662,764339,88323,2740,293,9152,8239,913,11,2
2021-10-16,855207,766566,88641,2545,318,9162,8249,913,10,0
2021-10-17,856628,767889,88739,1421,98,9163,8250,913,1,0
2021-10-18,858050,769212,88838,1422,99,9164,8251,913,1,0
2021-10-19,859993,770808,89185,1943,347,9181,8267,914,17,1
2021-10-20,862503,772918,89585,2510,400,9207,8293,914,26,0
2021-10-21,865100,775142,89958,2597,373,9226,8312,914,19,0
2021-10-22,867512,777244,90268,2412,310,9259,8342,917,33,3
2021-10-23,867512,777244,90268,0,0,9259,8342,917,0,0
2021-10-24,867512,777244,90268,0,0,9259,8342,917,0,0
2021-10-25,872025,781483,90542,4513,274,9299,8378,921,40,4
2021-10-26,874942,784087,90855,2917,313,9344,8420,924,45,3
2021-10-27,877220,785906,91314,2278,459,9370,8442,928,26,4
2021-10-28,879785,788044,91741,2565,427,9390,8459,931,20,3
