Date,MMWR_week,Year,Location,Concat,Distributed,Administered,Recip_Administered,Administered_Dose1,Series_Complete,Additional_Doses
12/19/20,51,2020,AK,202051AK,26325,1607,0,0,0,0
12/26/20,52,2020,AK,202052AK,45250,11427,0,0,0,0
1/2/21,53,2021,AK,202153AK,54975,18401,0,0,0,0
1/9/21,1,2021,AK,20211AK,92875,28539,0,0,0,0
1/16/21,2,2021,AK,20212AK,149650,54193,0,0,0,0
1/23/21,3,2021,AK,20213AK,155700,88344,0,0,0,0
1/30/21,4,2021,AK,20214AK,193150,115268,0,0,0,0
2/6/21,5,2021,AK,20215AK,248500,139147,0,0,0,0
2/13/21,6,2021,AK,20216AK,271550,175138,174962,122518,0,0
2/20/21,7,2021,AK,20217AK,299935,227403,227363,148497,0,0
2/27/21,8,2021,AK,20218AK,342535,259538,259706,163739,0,0
3/6/21,9,2021,AK,20219AK,426715,288625,289004,178237,110053,0
3/13/21,10,2021,AK,202110AK,472395,324271,324820,197436,126647,0
3/20/21,11,2021,AK,202111AK,520685,362698,363011,221157,143349,0
3/27/21,12,2021,AK,202112AK,570465,395650,395987,242733,156698,0
4/3/21,13,2021,AK,202113AK,636665,420238,419902,254263,170747,0
4/10/21,14,2021,AK,202114AK,706185,455719,454937,268587,194814,0
4/17/21,15,2021,AK,202115AK,746705,509843,508588,288040,231393,0
4/24/21,16,2021,AK,202116AK,759125,536961,535338,299312,246821,0
5/1/21,17,2021,AK,202117AK,769205,560662,558538,307711,262217,0
5/8/21,18,2021,AK,202118AK,777945,571320,568724,312475,268319,0
5/15/21,19,2021,AK,202119AK,792755,583641,580815,318593,275681,0
5/22/21,20,2021,AK,202120AK,802575,598449,595607,328869,281611,0
5/29/21,21,2021,AK,202121AK,806335,610038,606848,336394,286793,0
6/5/21,22,2021,AK,202122AK,814795,618609,615053,340957,291308,0
6/12/21,23,2021,AK,202123AK,819965,629530,625638,345283,298544,0
6/19/21,24,2021,AK,202124AK,825625,638888,634834,349289,304545,0
6/26/21,25,2021,AK,202125AK,829405,649109,644759,353979,310204,0
7/3/21,26,2021,AK,202126AK,831665,668685,663969,363378,319083,0
7/10/21,27,2021,AK,202127AK,840265,681805,676934,368156,325118,0
7/17/21,28,2021,AK,202128AK,842985,687815,682749,371162,328404,0
7/24/21,29,2021,AK,202129AK,848165,691691,686466,372902,330893,0
7/31/21,30,2021,AK,202130AK,854805,697440,692140,376882,333092,0
8/7/21,31,2021,AK,202131AK,872195,703975,698651,381470,335564,0
8/14/21,32,2021,AK,202132AK,882535,709158,703948,384971,337746,0
8/21/21,33,2021,AK,202133AK,895645,716988,711849,389526,340964,0
8/28/21,34,2021,AK,202134AK,929945,726501,721310,394238,344325,0
9/4/21,35,2021,AK,202135AK,981175,736809,731616,400061,347597,0
9/11/21,36,2021,AK,202136AK,993155,754346,748885,407729,353278,0
9/18/21,37,2021,AK,202137AK,1025415,765238,759835,412682,357820,0
9/25/21,38,2021,AK,202138AK,1043135,775688,770255,415735,364112,0
10/2/21,39,2021,AK,202139AK,1069475,798038,792384,420423,371493,0
10/9/21,40,2021,AK,202140AK,1093025,812327,807029,423561,374363,0
10/16/21,41,2021,AK,202141AK,1110405,827164,821954,426807,377834,0
10/23/21,42,2021,AK,202142AK,1131045,852106,847450,431007,382206,39974
10/30/21,43,2021,AK,202143AK,1155265,871548,867313,434722,385083,53629
12/19/20,51,2020,AL,202051AL,39000,3152,0,0,0,0
12/26/20,52,2020,AL,202052AL,142725,16366,0,0,0,0
1/2/21,53,2021,AL,202153AL,153025,39237,0,0,0,0
1/9/21,1,2021,AL,20211AL,279750,66179,0,0,0,0
1/16/21,2,2021,AL,20212AL,437400,115028,0,0,0,0
1/23/21,3,2021,AL,20213AL,521225,221540,0,0,0,0
1/30/21,4,2021,AL,20214AL,659400,342436,0,0,0,0
2/6/21,5,2021,AL,20215AL,804100,455173,0,0,0,0
2/13/21,6,2021,AL,20216AL,963600,601159,616015,477491,0,0
2/20/21,7,2021,AL,20217AL,1078800,776936,795974,574095,0,0
2/27/21,8,2021,AL,20218AL,1402180,931090,953147,643208,0,0
3/6/21,9,2021,AL,20219AL,1628350,1099697,1125654,721109,402301,0
3/13/21,10,2021,AL,202110AL,1918560,1288242,1320024,841394,492755,0
3/20/21,11,2021,AL,202111AL,2177880,1460782,1497850,960539,561254,0
3/27/21,12,2021,AL,202112AL,2535880,1645858,1688383,1098597,623385,0
4/3/21,13,2021,AL,202113AL,2891780,1847243,1897101,1234131,705197,0
4/10/21,14,2021,AL,202114AL,3278980,2065327,2121421,1371201,811323,0
4/17/21,15,2021,AL,202115AL,3664640,2280686,2343076,1476162,935377,0
4/24/21,16,2021,AL,202116AL,3960530,2461510,2529840,1543544,1054863,0
5/1/21,17,2021,AL,202117AL,4130550,2617405,2690595,1599130,1161725,0
5/8/21,18,2021,AL,202118AL,4277330,2758021,2836372,1649688,1263965,0
5/15/21,19,2021,AL,202119AL,4373130,2881314,2962951,1697289,1348023,0
5/22/21,20,2021,AL,202120AL,4476640,2962661,3047015,1736645,1396990,0
5/29/21,21,2021,AL,202121AL,4578590,3020540,3106945,1765515,1431669,0
6/5/21,22,2021,AL,202122AL,4637330,3032931,3121171,1772245,1440289,0
6/12/21,23,2021,AL,202123AL,4678220,3105159,3195058,1805486,1485108,0
6/19/21,24,2021,AL,202124AL,4758560,3275273,3367931,1909005,1558881,0
6/26/21,25,2021,AL,202125AL,4801760,3317156,3411317,1933773,1578780,0
7/3/21,26,2021,AL,202126AL,4845190,3381996,3478940,1969834,1612803,0
7/10/21,27,2021,AL,202127AL,4884130,3414916,3513398,1988956,1629745,0
7/17/21,28,2021,AL,202128AL,4912720,3455278,3555089,2013853,1648172,0
7/24/21,29,2021,AL,202129AL,5001210,3504304,3605926,2048890,1665751,0
7/31/21,30,2021,AL,202130AL,5159890,3587175,3689612,2117044,1683584,0
8/7/21,31,2021,AL,202131AL,5330000,3699467,3801294,2207345,1707895,0
8/14/21,32,2021,AL,202132AL,5554810,3769434,3871420,2260327,1726776,0
8/21/21,33,2021,AL,202133AL,5863360,3906516,4007076,2340782,1777585,0
8/28/21,34,2021,AL,202134AL,6085890,4072870,4171111,2415007,1850031,0
9/4/21,35,2021,AL,202135AL,6294440,4209610,4306231,2474109,1915710,0
9/11/21,36,2021,AL,202136AL,6427570,4292244,4388388,2506484,1959493,0
9/18/21,37,2021,AL,202137AL,6545280,4386893,4474865,2537329,2013023,0
9/25/21,38,2021,AL,202138AL,6639550,4471337,4558998,2565735,2060935,0
10/2/21,39,2021,AL,202139AL,6738280,4544355,4631560,2586950,2094920,0
10/9/21,40,2021,AL,202140AL,6858210,4630089,4717522,2609534,2128926,0
10/16/21,41,2021,AL,202141AL,6945360,4688180,4775771,2625208,2150508,0
10/23/21,42,2021,AL,202142AL,7062480,4759947,4852476,2648588,2174923,147525
10/30/21,43,2021,AL,202143AL,7264740,4866607,4958601,2672040,2194074,211878
12/19/20,51,2020,AR,202051AR,25350,7817,0,0,0,0
12/26/20,52,2020,AR,202052AR,88775,24871,0,0,0,0
1/2/21,53,2021,AR,202153AR,144225,39215,0,0,0,0
1/9/21,1,2021,AR,20211AR,225975,40879,0,0,0,0
1/16/21,2,2021,AR,20212AR,297600,133111,0,0,0,0
1/23/21,3,2021,AR,20213AR,368650,201676,0,0,0,0
1/30/21,4,2021,AR,20214AR,453700,288651,0,0,0,0
2/6/21,5,2021,AR,20215AR,540050,374674,0,0,0,0
2/13/21,6,2021,AR,20216AR,630700,457386,457299,330227,0,0
2/20/21,7,2021,AR,20217AR,691525,520904,521553,365271,0,0
2/27/21,8,2021,AR,20218AR,892660,622665,624053,405877,0,0
