date,mmwr_wk,year,location,distributed,administered,total_cases,total_deaths
2020-12-19,51,2020,AK,26325,1607,42659,267
2020-12-26,52,2020,AK,45250,11427,44394,271
2021-01-02,53,2021,AK,54975,18401,46530,287
2021-01-09,1,2021,AK,92875,28539,48571,297
2021-01-16,2,2021,AK,149650,54193,50264,300
2021-01-23,3,2021,AK,155700,88344,51663,306
2021-01-30,4,2021,AK,193150,115268,52636,308
2021-02-06,5,2021,AK,248500,139147,53557,309
2021-02-13,6,2021,AK,271550,175138,54488,311
2021-02-20,7,2021,AK,299935,227403,55392,318
2021-02-27,8,2021,AK,342535,259538,56212,323
2021-03-06,9,2021,AK,426715,288625,57088,328
2021-03-13,10,2021,AK,472395,324271,58010,331
2021-03-20,11,2021,AK,520685,362698,58893,333
2021-03-27,12,2021,AK,570465,395650,59965,338
2021-04-03,13,2021,AK,636665,420238,61197,340
2021-04-10,14,2021,AK,706185,455719,62391,341
2021-04-17,15,2021,AK,746705,509843,63439,341
2021-04-24,16,2021,AK,759125,536961,64503,341
2021-05-01,17,2021,AK,769205,560662,65498,341
2021-05-08,18,2021,AK,777945,571320,66196,343
2021-05-15,19,2021,AK,792755,583641,66726,347
2021-05-22,20,2021,AK,802575,598449,67137,362
2021-05-29,21,2021,AK,806335,610038,67429,362
2021-06-05,22,2021,AK,814795,618609,67664,362
2021-06-12,23,2021,AK,819965,629530,67843,366
2021-06-19,24,2021,AK,825625,638888,68005,366
2021-06-26,25,2021,AK,829405,649109,68245,367
2021-07-03,26,2021,AK,831665,668685,68517,370
2021-07-10,27,2021,AK,840265,681805,68844,372
2021-07-17,28,2021,AK,842985,687815,69599,374
2021-07-24,29,2021,AK,848165,691691,70929,377
2021-07-31,30,2021,AK,854805,697440,72519,382
2021-08-07,31,2021,AK,872195,703975,74514,390
2021-08-14,32,2021,AK,882535,709158,76676,395
2021-08-21,33,2021,AK,895645,716988,79830,406
2021-08-28,34,2021,AK,929945,726501,83250,427
2021-09-04,35,2021,AK,981175,736809,87113,435
2021-09-11,36,2021,AK,993155,754346,91418,444
2021-09-18,37,2021,AK,1025415,765238,96688,455
2021-09-25,38,2021,AK,1043135,775688,104400,520
2021-10-02,39,2021,AK,1069475,798038,111579,557
2021-10-09,40,2021,AK,1093025,812327,117278,571
2021-10-16,41,2021,AK,1110405,827164,123369,610
2021-10-23,42,2021,AK,1131045,852106,128084,673
2021-10-30,43,2021,AK,1155265,871548,132645,699
2020-12-19,51,2020,AL,39000,3152,337301,6362
2020-12-26,52,2020,AL,142725,16366,362139,6825
2021-01-02,53,2021,AL,153025,39237,393953,7347
2021-01-09,1,2021,AL,279750,66179,424741,7900
2021-01-16,2,2021,AL,437400,115028,446183,8477
2021-01-23,3,2021,AL,521225,221540,464961,9046
2021-01-30,4,2021,AL,659400,342436,481027,9546
2021-02-06,5,2021,AL,804100,455173,492677,9891
2021-02-13,6,2021,AL,963600,601159,501169,10153
2021-02-20,7,2021,AL,1078800,776936,506925,10372
2021-02-27,8,2021,AL,1402180,931090,512292,10542
2021-03-06,9,2021,AL,1628350,1099697,516196,10652
2021-03-13,10,2021,AL,1918560,1288242,519366,10752
2021-03-20,11,2021,AL,2177880,1460782,522337,10833
2021-03-27,12,2021,AL,2535880,1645858,525013,10908
2021-04-03,13,2021,AL,2891780,1847243,527558,10972
2021-04-10,14,2021,AL,3278980,2065327,530490,11027
2021-04-17,15,2021,AL,3664640,2280686,533503,11070
2021-04-24,16,2021,AL,3960530,2461510,536380,11115
2021-05-01,17,2021,AL,4130550,2617405,539195,11161
2021-05-08,18,2021,AL,4277330,2758021,541688,11222
2021-05-15,19,2021,AL,4373130,2881314,543872,11273
2021-05-22,20,2021,AL,4476640,2962661,545817,11322
2021-05-29,21,2021,AL,4578590,3020540,547129,11353
2021-06-05,22,2021,AL,4637330,3032931,548287,11388
2021-06-12,23,2021,AL,4678220,3105159,549360,11421
2021-06-19,24,2021,AL,4758560,3275273,550457,11444
2021-06-26,25,2021,AL,4801760,3317156,551894,11478
2021-07-03,26,2021,AL,4845190,3381996,553809,11500
2021-07-10,27,2021,AL,4884130,3414916,556864,11534
2021-07-17,28,2021,AL,4912720,3455278,562876,11573
2021-07-24,29,2021,AL,5001210,3504304,574901,11632
2021-07-31,30,2021,AL,5159890,3587175,593871,11737
2021-08-07,31,2021,AL,5330000,3699467,619362,11942
2021-08-14,32,2021,AL,5554810,3769434,648206,12261
2021-08-21,33,2021,AL,5863360,3906516,680958,12645
